Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7uF","C_0603_1608Metric",306.730400,-161.290000,45.000000,bottom
"C2","22pF","C_0603_1608Metric",321.638247,-157.020847,135.000000,bottom
"C3","22pF","C_0603_1608Metric",319.430400,-154.813000,315.000000,bottom
"C4","100nF","C_0603_1608Metric",315.620400,-152.908000,270.000000,bottom
"C5","100nF","C_0603_1608Metric",321.462400,-167.513000,225.000000,bottom
"C6","100nF","C_0603_1608Metric",312.694320,-172.567600,315.000000,bottom
"C7","100nF","C_0603_1608Metric",306.349400,-167.005000,135.000000,bottom
"C8","1uf","C_0603_1608Metric",311.810400,-152.908000,90.000000,bottom
"D4","1N4148","D_0603_1608Metric",49.212500,-154.781250,90.000000,bottom
"D5","1N4148","D_0603_1608Metric",65.881250,-169.068750,90.000000,bottom
"D6","1N4148","D_0603_1608Metric",46.831250,-192.881250,90.000000,bottom
"D7","1N4148","D_0603_1608Metric",44.354750,-116.425000,90.000000,bottom
"D8","1N4148","D_0603_1608Metric",46.831250,-135.575000,90.000000,bottom
"D9","1N4148","D_0603_1608Metric",94.456250,-192.881250,90.000000,bottom
"D10","1N4148","D_0603_1608Metric",65.881250,-173.831250,90.000000,bottom
"D11","1N4148","D_0603_1608Metric",61.118750,-116.450000,90.000000,bottom
"D12","1N4148","D_0603_1608Metric",70.643750,-135.731250,90.000000,bottom
"D13","1N4148","D_0603_1608Metric",75.406250,-154.781250,90.000000,bottom
"D14","1N4148","D_0603_1608Metric",92.075000,-192.881250,90.000000,bottom
"D15","1N4148","D_0603_1608Metric",80.168750,-116.400000,90.000000,bottom
"D16","1N4148","D_0603_1608Metric",89.693750,-135.731250,90.000000,bottom
"D17","1N4148","D_0603_1608Metric",94.456250,-154.781250,90.000000,bottom
"D18","1N4148","D_0603_1608Metric",84.931250,-173.831250,90.000000,bottom
"D19","1N4148","D_0603_1608Metric",113.506250,-154.781250,90.000000,bottom
"D20","1N4148","D_0603_1608Metric",131.660900,-193.325750,90.000000,bottom
"D21","1N4148","D_0603_1608Metric",99.218750,-116.550000,90.000000,bottom
"D22","1N4148","D_0603_1608Metric",108.743750,-135.731250,90.000000,bottom
"D23","1N4148","D_0603_1608Metric",103.981250,-173.831250,90.000000,bottom
"D24","1N4148","D_0603_1608Metric",118.268750,-116.400000,90.000000,bottom
"D25","1N4148","D_0603_1608Metric",127.793750,-135.731250,90.000000,bottom
"D26","1N4148","D_0603_1608Metric",132.556250,-154.781250,90.000000,bottom
"D27","1N4148","D_0603_1608Metric",123.031250,-173.470000,90.000000,bottom
"D28","1N4148","D_0603_1608Metric",142.081250,-173.831250,90.000000,bottom
"D29","1N4148","D_0603_1608Metric",137.318750,-116.450000,90.000000,bottom
"D30","1N4148","D_0603_1608Metric",146.843750,-135.731250,90.000000,bottom
"D31","1N4148","D_0603_1608Metric",151.606250,-154.781250,90.000000,bottom
"D32","1N4148","D_0603_1608Metric",168.967150,-192.881250,90.000000,bottom
"D33","1N4148","D_0603_1608Metric",161.131250,-173.831250,90.000000,bottom
"D34","1N4148","D_0603_1608Metric",156.368750,-116.500000,90.000000,bottom
"D35","1N4148","D_0603_1608Metric",165.893750,-135.731250,90.000000,bottom
"D36","1N4148","D_0603_1608Metric",170.656250,-154.781250,90.000000,bottom
"D37","1N4148","D_0603_1608Metric",180.181250,-173.831250,90.000000,bottom
"D38","1N4148","D_0603_1608Metric",175.418750,-116.500000,90.000000,bottom
"D39","1N4148","D_0603_1608Metric",184.943750,-135.731250,90.000000,bottom
"D40","1N4148","D_0603_1608Metric",189.706250,-154.781250,90.000000,bottom
"D41","1N4148","D_0603_1608Metric",199.231250,-173.831250,90.000000,bottom
"D42","1N4148","D_0603_1608Metric",194.468750,-116.525000,90.000000,bottom
"D43","1N4148","D_0603_1608Metric",203.993750,-135.731250,90.000000,bottom
"D44","1N4148","D_0603_1608Metric",208.756250,-154.781250,90.000000,bottom
"D45","1N4148","D_0603_1608Metric",209.218750,-192.500000,90.000000,bottom
"D46","1N4148","D_0603_1608Metric",218.281250,-173.831250,90.000000,bottom
"D47","1N4148","D_0603_1608Metric",227.806250,-154.781250,90.000000,bottom
"D48","1N4148","D_0603_1608Metric",198.437500,-116.500000,90.000000,bottom
"D49","1N4148","D_0603_1608Metric",223.043750,-135.731250,90.000000,bottom
"D50","1N4148","D_0603_1608Metric",248.118750,-192.700000,90.000000,bottom
"D51","1N4148","D_0603_1608Metric",232.568750,-116.300000,90.000000,bottom
"D52","1N4148","D_0603_1608Metric",246.856250,-154.781250,90.000000,bottom
"D53","1N4148","D_0603_1608Metric",242.093750,-135.731250,90.000000,bottom
"D54","1N4148","D_0603_1608Metric",237.331250,-173.831250,90.000000,bottom
"D55","1N4148","D_0603_1608Metric",269.618750,-192.700000,90.000000,bottom
"D56","1N4148","D_0603_1608Metric",251.618750,-116.300000,90.000000,bottom
"D57","1N4148","D_0603_1608Metric",261.143750,-135.731250,90.000000,bottom
"D58","1N4148","D_0603_1608Metric",265.906250,-154.781250,90.000000,bottom
"D59","1N4148","D_0603_1608Metric",257.418750,-173.300000,90.000000,bottom
"D60","1N4148","D_0603_1608Metric",294.481250,-197.643750,90.000000,bottom
"D61","1N4148","D_0603_1608Metric",280.193750,-135.731250,90.000000,bottom
"D62","1N4148","D_0603_1608Metric",283.868750,-174.075000,90.000000,bottom
"D63","1N4148","D_0603_1608Metric",270.668750,-116.300000,90.000000,bottom
"D64","1N4148","D_0603_1608Metric",282.575000,-157.800000,90.000000,bottom
"D65","1N4148","D_0603_1608Metric",274.637500,-116.300000,90.000000,bottom
"D66","1N4148","D_0603_1608Metric",307.181250,-148.431250,90.000000,bottom
"D67","1N4148","D_0603_1608Metric",313.531250,-178.175000,90.000000,bottom
"D68","1N4148","D_0603_1608Metric",313.531250,-197.643750,90.000000,bottom
"D69","1N4148","D_0603_1608Metric",304.006250,-136.525000,90.000000,bottom
"D70","1N4148","D_0603_1608Metric",308.768750,-109.537500,90.000000,bottom
"D71","1N4148","D_0603_1608Metric",337.343750,-116.300000,90.000000,bottom
"D72","1N4148","D_0603_1608Metric",337.343750,-154.781250,90.000000,bottom
"D73","1N4148","D_0603_1608Metric",337.343750,-135.731250,90.000000,bottom
"D74","1N4148","D_0603_1608Metric",337.343750,-173.831250,90.000000,bottom
"D75","1N4148","D_0603_1608Metric",332.581250,-197.643750,90.000000,bottom
"D76","1N4148","D_0603_1608Metric",356.393750,-154.781250,90.000000,bottom
"D77","1N4148","D_0603_1608Metric",356.393750,-116.415000,90.000000,bottom
"D78","1N4148","D_0603_1608Metric",356.393750,-135.731250,90.000000,bottom
"D79","1N4148","D_0603_1608Metric",356.393750,-173.831250,90.000000,bottom
"D80","1N4148","D_0603_1608Metric",356.393750,-192.881250,90.000000,bottom
"D81","1N4148","D_0603_1608Metric",375.443750,-135.731250,90.000000,bottom
"D82","1N4148","D_0603_1608Metric",375.443750,-150.018750,90.000000,bottom
"D83","1N4148","D_0603_1608Metric",375.443750,-192.881250,90.000000,bottom
"D84","1N4148","D_0603_1608Metric",375.443750,-116.300000,90.000000,bottom
"D85","1N4148","D_0603_1608Metric",375.443750,-173.831250,90.000000,bottom
"D86","1N4148","D_0603_1608Metric",375.443750,-188.118750,90.000000,bottom
"D87","1N4148","D_0603_1608Metric",380.206250,-116.400000,90.000000,bottom
"D88","1N4148","D_0603_1608Metric",375.443750,-141.287500,90.000000,bottom
"D89","1N4148","D_0603_1608Metric",379.412500,-150.018750,90.000000,bottom
"D90","1N4148","D_0603_1608Metric",378.618750,-180.181250,90.000000,bottom
"D92","1N4148","D_0603_1608Metric",207.067150,-192.532000,90.000000,bottom
"F1","500ma","Fuse_0805_2012Metric",219.964000,-107.518200,180.000000,bottom
"Q1","MMBT3904","SOT-23",314.350400,-127.127000,180.000000,bottom
"R1","22R","R_0603_1608Metric",215.925400,-117.475000,90.000000,bottom
"R2","22R","R_0603_1608Metric",217.830400,-117.475000,90.000000,bottom
"R3","10k","R_0603_1608Metric",313.334400,-152.908000,90.000000,bottom
"R4","10K","R_0603_1608Metric",315.696600,-173.355000,45.000000,bottom
"R5","1.5K","R_0603_1608Metric",317.652400,-128.079500,270.000000,bottom
"R9","470","R_0603_1608Metric",38.893750,-122.350000,270.000000,bottom
"R10","470","R_0603_1608Metric",43.656250,-141.400000,270.000000,bottom
"R11","470","R_0603_1608Metric",46.037500,-160.450000,270.000000,bottom
"R12","470","R_0603_1608Metric",50.800000,-179.550000,270.000000,bottom
"R13","470","R_0603_1608Metric",43.656250,-198.650000,270.000000,bottom
"R14","470","R_0603_1608Metric",57.943750,-122.425000,270.000000,bottom
"R15","470","R_0603_1608Metric",67.468750,-141.450000,270.000000,bottom
"R16","470","R_0603_1608Metric",72.231250,-160.525000,270.000000,bottom
"R17","470","R_0603_1608Metric",62.706250,-179.500000,270.000000,bottom
"R18","470","R_0603_1608Metric",53.975000,-198.650000,270.000000,bottom
"R19","470","R_0603_1608Metric",76.993750,-122.450000,270.000000,bottom
"R20","470","R_0603_1608Metric",86.518750,-141.450000,270.000000,bottom
"R21","470","R_0603_1608Metric",91.281250,-160.550000,270.000000,bottom
"R22","470","R_0603_1608Metric",81.756250,-179.500000,270.000000,bottom
"R23","470","R_0603_1608Metric",76.200000,-198.625000,270.000000,bottom
"R24","470","R_0603_1608Metric",96.037400,-122.428000,270.000000,bottom
"R25","470","R_0603_1608Metric",105.568750,-141.287500,270.000000,bottom
"R26","470","R_0603_1608Metric",110.331250,-160.450000,270.000000,bottom
"R27","470","R_0603_1608Metric",100.806250,-179.540000,270.000000,bottom
"R28","5.1K","R_0603_1608Metric",205.390750,-109.855000,180.000000,bottom
"R29","470","R_0603_1608Metric",115.093750,-122.400000,270.000000,bottom
"R30","470","R_0603_1608Metric",124.618750,-141.287500,270.000000,bottom
"R31","470","R_0603_1608Metric",129.381250,-160.528000,270.000000,bottom
"R32","470","R_0603_1608Metric",119.856250,-179.451000,270.000000,bottom
"R33","470","R_0603_1608Metric",134.143750,-122.450000,270.000000,bottom
"R34","470","R_0603_1608Metric",143.668750,-141.475000,270.000000,bottom
"R35","470","R_0603_1608Metric",148.431250,-160.528000,270.000000,bottom
"R36","470","R_0603_1608Metric",138.906250,-179.500000,270.000000,bottom
"R37","470","R_0603_1608Metric",153.193750,-122.450000,270.000000,bottom
"R38","470","R_0603_1608Metric",162.718750,-141.500000,270.000000,bottom
"R39","470","R_0603_1608Metric",167.481250,-160.525000,270.000000,bottom
"R40","470","R_0603_1608Metric",157.956250,-179.600000,270.000000,bottom
"R41","470","R_0603_1608Metric",166.585900,-198.882000,270.000000,bottom
"R42","470","R_0603_1608Metric",172.243750,-122.400000,270.000000,bottom
"R43","470","R_0603_1608Metric",181.768750,-141.450000,270.000000,bottom
"R44","470","R_0603_1608Metric",186.531250,-160.528000,270.000000,bottom
"R45","470","R_0603_1608Metric",177.006250,-179.625000,270.000000,bottom
"R46","470","R_0603_1608Metric",191.293750,-122.450000,270.000000,bottom
"R47","470","R_0603_1608Metric",200.818750,-141.450000,270.000000,bottom
"R48","470","R_0603_1608Metric",205.581250,-160.550000,270.000000,bottom
"R49","470","R_0603_1608Metric",196.056250,-179.550000,270.000000,bottom
"R50","470","R_0603_1608Metric",210.343750,-122.450000,270.000000,bottom
"R51","470","R_0603_1608Metric",219.868750,-141.450000,270.000000,bottom
"R52","470","R_0603_1608Metric",224.440750,-160.525000,270.000000,bottom
"R53","470","R_0603_1608Metric",215.106250,-179.578000,270.000000,bottom
"R54","470","R_0603_1608Metric",222.250000,-198.550000,270.000000,bottom
"R55","470","R_0603_1608Metric",229.393750,-122.450000,270.000000,bottom
"R56","470","R_0603_1608Metric",238.918750,-141.450000,270.000000,bottom
"R57","470","R_0603_1608Metric",243.681250,-160.525000,270.000000,bottom
"R58","470","R_0603_1608Metric",234.156250,-179.387500,270.000000,bottom
"R59","470","R_0603_1608Metric",243.681250,-198.600000,270.000000,bottom
"R60","470","R_0603_1608Metric",248.443750,-122.375000,270.000000,bottom
"R61","470","R_0603_1608Metric",257.968750,-141.287500,270.000000,bottom
"R62","470","R_0603_1608Metric",262.731250,-160.475000,270.000000,bottom
"R63","470","R_0603_1608Metric",253.206250,-179.450000,270.000000,bottom
"R64","470","R_0603_1608Metric",265.112500,-198.625000,270.000000,bottom
"R65","470","R_0603_1608Metric",267.493750,-122.400000,270.000000,bottom
"R66","470","R_0603_1608Metric",277.018750,-141.450000,270.000000,bottom
"R67","470","R_0603_1608Metric",282.575000,-161.925000,270.000000,bottom
"R68","470","R_0603_1608Metric",279.400000,-179.451000,270.000000,bottom
"R69","470","R_0603_1608Metric",291.306250,-203.350000,270.000000,bottom
"R70","470","R_0603_1608Metric",296.068750,-122.450000,270.000000,bottom
"R71","470","R_0603_1608Metric",304.800000,-141.450000,270.000000,bottom
"R72","470","R_0603_1608Metric",293.687500,-160.550000,270.000000,bottom
"R73","470","R_0603_1608Metric",310.356250,-184.150000,270.000000,bottom
"R74","470","R_0603_1608Metric",310.356250,-203.350000,270.000000,bottom
"R75","470","R_0603_1608Metric",307.718750,-122.425000,270.000000,bottom
"R76","470","R_0603_1608Metric",334.168750,-122.350000,270.000000,bottom
"R77","470","R_0603_1608Metric",334.168750,-141.450000,270.000000,bottom
"R78","470","R_0603_1608Metric",335.018750,-160.550000,270.000000,bottom
"R79","470","R_0603_1608Metric",334.168750,-179.550000,270.000000,bottom
"R80","470","R_0603_1608Metric",329.406250,-203.325000,270.000000,bottom
"R81","470","R_0603_1608Metric",353.218750,-122.350000,270.000000,bottom
"R82","470","R_0603_1608Metric",353.218750,-141.450000,270.000000,bottom
"R83","470","R_0603_1608Metric",353.218750,-160.500000,270.000000,bottom
"R84","470","R_0603_1608Metric",353.218750,-179.550000,270.000000,bottom
"R85","470","R_0603_1608Metric",353.218750,-198.437500,270.000000,bottom
"R86","470","R_0603_1608Metric",372.268750,-122.350000,270.000000,bottom
"R87","470","R_0603_1608Metric",372.268750,-141.287500,270.000000,bottom
"R88","470","R_0603_1608Metric",372.268750,-160.525000,270.000000,bottom
"R89","470","R_0603_1608Metric",372.268750,-179.525000,270.000000,bottom
"R90","470","R_0603_1608Metric",372.268750,-198.550000,270.000000,bottom
"R91","470","R_0603_1608Metric",391.318750,-198.550000,270.000000,bottom
"R92","470","R_0603_1608Metric",379.412500,-122.450000,270.000000,bottom
"R93","470","R_0603_1608Metric",379.412500,-141.287500,270.000000,bottom
"R94","470","R_0603_1608Metric",391.318750,-160.525000,270.000000,bottom
"R95","470","R_0603_1608Metric",374.650000,-179.525000,270.000000,bottom
"R96","5.1K","R_0603_1608Metric",219.995750,-109.347000,0.000000,bottom
"R97","470","R_0603_1608Metric",126.898400,-198.882000,270.000000,bottom
"R99","470","R_0603_1608Metric",185.635900,-198.088250,270.000000,bottom
"U1","ATmega32U4-MU","QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm",313.588400,-163.957000,315.000000,bottom
"U2","PRTR5V0U2X","SOT143B",216.877900,-114.236500,90.000000,bottom
"Y1","16Mhz","Crystal_SMD_2520-4Pin_2.5x2.0mm",318.795400,-157.607000,135.000000,bottom
"svg2mod","G***","CableCarLogo",285.521400,-183.896000,180.000000,bottom
